ID	module	cofactor_id	cofactor_type	ec	name	species	superkingdom
5jfn.1VU_A_601	7	1VU	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfn.COA_B_601	7	COA	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfn.COA_C_601	7	COA	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5jfn.COA_D_601	7	COA	Nuc	-.-.-.-	aldehydedehydrogenase	rhodopseudomonaspalustris(strainbisb18)	Bacteria
5iuv.NAD_A_700	7	NAD	Nuc	-.-.-.-	aldehydedehydrogenasefamilyprotein	pseudomonassyringaepv.tomato(straindc3000)	Bacteria
4iym.NAD_M_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
5iuv.NAD_B_700	7	NAD	Nuc	-.-.-.-	aldehydedehydrogenasefamilyprotein	pseudomonassyringaepv.tomato(straindc3000)	Bacteria
4iym.NAD_A_501	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_B_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_D_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_E_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_L_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_O_501	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4pxn.NAD_A_601	7	NAD	Nuc	-.-.-.-	uncharacterizedprotein	zeamays	Eukaryota
4pxn.NAD_B_601	7	NAD	Nuc	-.-.-.-	uncharacterizedprotein	zeamays	Eukaryota
4pz2.NAD_A_603	7	NAD	Nuc	-.-.-.-	zmaldh	zeamays	Eukaryota
4pz2.NAD_B_602	7	NAD	Nuc	-.-.-.-	zmaldh	zeamays	Eukaryota
1ad3.NAD_A_600	7	NAD	Nuc	1.2.1.5	aldehydedehydrogenase(class3)	rattusnorvegicus	Eukaryota
2y53.NAP_B_1527	7	NAP	Nuc	-.-.-.-	aldehydedehydrogenase(boxpathway)	burkholderiaxenovoranslb400	Bacteria
3jz4.NAP_A_482	7	NAP	Nuc	1.2.1.16	succinate-semialdehydedehydrogenase[nadp+]	escherichiacoli	Bacteria
3jz4.NAP_B_482	7	NAP	Nuc	1.2.1.16	succinate-semialdehydedehydrogenase[nadp+]	escherichiacoli	Bacteria
3jz4.NAP_C_482	7	NAP	Nuc	1.2.1.16	succinate-semialdehydedehydrogenase[nadp+]	escherichiacoli	Bacteria
3jz4.NAP_D_482	7	NAP	Nuc	1.2.1.16	succinate-semialdehydedehydrogenase[nadp+]	escherichiacoli	Bacteria
4itb.NDP_A_501	7	NDP	Nuc	-.-.-.-	succinate-semialdehydedehydrogenase	synechococcussp.	Bacteria
4itb.NDP_B_501	7	NDP	Nuc	-.-.-.-	succinate-semialdehydedehydrogenase	synechococcussp.	Bacteria
1ad3.NAD_B_600	7	NAD	Nuc	1.2.1.5	aldehydedehydrogenase(class3)	rattusnorvegicus	Eukaryota
1o04.NAD_A_6501	7	NAD	Nuc	1.2.1.3	"aldehydedehydrogenase,mitochondrialprecursor"	homosapiens	Eukaryota
1ez0.NAP_B_750	7	NAP	Nuc	1.2.1.5	aldehydedehydrogenase	vibrioharveyi	Bacteria
1ez0.NAP_D_950	7	NAP	Nuc	1.2.1.5	aldehydedehydrogenase	vibrioharveyi	Bacteria
5ucd.NAP_A_501	7	NAP	Nuc	1.2.1.28	nad(p)-dependentbenzaldehydedehydrogenase	pseudomonasputida	Bacteria
5ucd.NAP_B_501	7	NAP	Nuc	1.2.1.28	nad(p)-dependentbenzaldehydedehydrogenase	pseudomonasputida	Bacteria
5j6b.NDP_A_502	7	NDP	Nuc	-.-.-.-	aldehydedehydrogenase	burkholderiathailandensis(straine264/atcc700388/dsm13276/cip106301)	Bacteria
5j6b.NDP_B_502	7	NDP	Nuc	-.-.-.-	aldehydedehydrogenase	burkholderiathailandensis(straine264/atcc700388/dsm13276/cip106301)	Bacteria
5j6b.NDP_C_502	7	NDP	Nuc	-.-.-.-	aldehydedehydrogenase	burkholderiathailandensis(straine264/atcc700388/dsm13276/cip106301)	Bacteria
5j6b.NDP_D_502	7	NDP	Nuc	-.-.-.-	aldehydedehydrogenase	burkholderiathailandensis(straine264/atcc700388/dsm13276/cip106301)	Bacteria
1o04.NAD_B_6502	7	NAD	Nuc	1.2.1.3	"aldehydedehydrogenase,mitochondrialprecursor"	homosapiens	Eukaryota
1o04.NAD_C_6503	7	NAD	Nuc	1.2.1.3	"aldehydedehydrogenase,mitochondrialprecursor"	homosapiens	Eukaryota
1ez0.NAP_A_650	7	NAP	Nuc	1.2.1.5	aldehydedehydrogenase	vibrioharveyi	Bacteria
1ez0.NAP_C_850	7	NAP	Nuc	1.2.1.5	aldehydedehydrogenase	vibrioharveyi	Bacteria
1o04.NAD_D_6504	7	NAD	Nuc	1.2.1.3	"aldehydedehydrogenase,mitochondrialprecursor"	homosapiens	Eukaryota
1o04.NAD_E_6505	7	NAD	Nuc	1.2.1.3	"aldehydedehydrogenase,mitochondrialprecursor"	homosapiens	Eukaryota
1o04.NAD_F_6506	7	NAD	Nuc	1.2.1.3	"aldehydedehydrogenase,mitochondrialprecursor"	homosapiens	Eukaryota
1o04.NAD_G_6507	7	NAD	Nuc	1.2.1.3	"aldehydedehydrogenase,mitochondrialprecursor"	homosapiens	Eukaryota
1o04.NAD_H_6508	7	NAD	Nuc	1.2.1.3	"aldehydedehydrogenase,mitochondrialprecursor"	homosapiens	Eukaryota
1t90.NAD_A_1490	7	NAD	Nuc	1.2.1.27	probablemethylmalonate-semialdehydedehydrogenase	bacillussubtilis	Bacteria
1t90.NAD_B_2490	7	NAD	Nuc	1.2.1.27	probablemethylmalonate-semialdehydedehydrogenase	bacillussubtilis	Bacteria
1t90.NAD_C_3490	7	NAD	Nuc	1.2.1.27	probablemethylmalonate-semialdehydedehydrogenase	bacillussubtilis	Bacteria
1t90.NAD_D_4490	7	NAD	Nuc	1.2.1.27	probablemethylmalonate-semialdehydedehydrogenase	bacillussubtilis	Bacteria
1uxt.NAD_A_1503	7	NAD	Nuc	1.2.1.9	glyceraldehyde-3-phosphatedehydrogenase(nadp+)	thermoproteustenax	Archaea
2bjk.NAD_A_1517	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2bjk.NAD_B_1517	7	NAD	Nuc	1.5.1.12	1-pyrroline-5-carboxylatedehydrogenase	thermusthermophilus	Bacteria
2d4e.NAD_C_1701	7	NAD	Nuc	1.2.1.60	5-carboxymethyl-2-hydroxymuconatesemialdehydedehydrogenase	thermusthermophilus	Bacteria
2d4e.NAD_D_1702	7	NAD	Nuc	1.2.1.60	5-carboxymethyl-2-hydroxymuconatesemialdehydedehydrogenase	thermusthermophilus	Bacteria
2jg7.NAD_A_1510	7	NAD	Nuc	-.-.-.-	antiquitin	acanthopagrusschlegeli	Eukaryota
2jg7.NAD_B_1510	7	NAD	Nuc	-.-.-.-	antiquitin	acanthopagrusschlegeli	Eukaryota
2jg7.NAD_C_1510	7	NAD	Nuc	-.-.-.-	antiquitin	acanthopagrusschlegeli	Eukaryota
2jg7.NAD_D_1510	7	NAD	Nuc	-.-.-.-	antiquitin	acanthopagrusschlegeli	Eukaryota
2jg7.NAD_E_1510	7	NAD	Nuc	-.-.-.-	antiquitin	acanthopagrusschlegeli	Eukaryota
2jg7.NAD_F_1510	7	NAD	Nuc	-.-.-.-	antiquitin	acanthopagrusschlegeli	Eukaryota
2jg7.NAD_G_1510	7	NAD	Nuc	-.-.-.-	antiquitin	acanthopagrusschlegeli	Eukaryota
2jg7.NAD_H_1510	7	NAD	Nuc	-.-.-.-	antiquitin	acanthopagrusschlegeli	Eukaryota
3b4w.NAD_A_500	7	NAD	Nuc	1.2.1.-	aldehydedehydrogenase	mycobacteriumtuberculosis	Bacteria
3haz.NAD_A_2003	7	NAD	Nuc	1.5.99.8	prolinedehydrogenase	bradyrhizobiumjaponicumusda110	Bacteria
3haz.NAD_B_2004	7	NAD	Nuc	1.5.99.8	prolinedehydrogenase	bradyrhizobiumjaponicumusda110	Bacteria
3iwk.NAD_A_505	7	NAD	Nuc	1.2.1.19	aminoaldehydedehydrogenase	pisumsativum	Eukaryota
3iwk.NAD_B_505	7	NAD	Nuc	1.2.1.19	aminoaldehydedehydrogenase	pisumsativum	Eukaryota
3iwk.NAD_C_505	7	NAD	Nuc	1.2.1.19	aminoaldehydedehydrogenase	pisumsativum	Eukaryota
3ju8.NAD_A_501	7	NAD	Nuc	1.2.1.71	succinylglutamicsemialdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
3ju8.NAD_B_501	7	NAD	Nuc	1.2.1.71	succinylglutamicsemialdehydedehydrogenase	pseudomonasaeruginosa	Bacteria
4f3x.NAD_A_500	7	NAD	Nuc	1.2.1.-	putativealdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4f3x.NAD_B_502	7	NAD	Nuc	1.2.1.-	putativealdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4f3x.NAD_C_500	7	NAD	Nuc	1.2.1.-	putativealdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4f3x.NAD_D_500	7	NAD	Nuc	1.2.1.-	putativealdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4i8p.NAD_A_601	7	NAD	Nuc	1.2.1.19	aminoaldehydedehydrogenase1	zeamays	Eukaryota
4i8p.NAD_B_601	7	NAD	Nuc	1.2.1.19	aminoaldehydedehydrogenase1	zeamays	Eukaryota
4iym.NAD_C_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_F_501	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_G_501	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_H_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_I_501	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_J_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_K_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
4iym.NAD_N_500	7	NAD	Nuc	1.2.1.27	methylmalonate-semialdehydedehydrogenase	sinorhizobiummeliloti	Bacteria
